IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
BWV 1006a - Menuet I,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/17,Mutopia-2008/07/17-1481,"LilyPond, version 2.11.49"
BWV 1006a - Menuet II,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/17,Mutopia-2008/07/17-1482,"LilyPond, version 2.11.49"
BWV 1006a - Bourrée,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/17,Mutopia-2008/07/17-1483,"LilyPond, version 2.11.49"
BWV 1006a - Gigue,Piano,Baroque,BWV 1006a,Not known,Bach-Gesellschaft Edition 1879 Band 42,Creative Commons Attribution-ShareAlike 3.0,2008/Jul/17,Mutopia-2008/07/17-1484,"LilyPond, version 2.11.49"
Sonata in B minor for flute and harpsichord,Flute and Harpsichord/Piano,Baroque,BWV 1030,Not known,Autograph,Public Domain,2005/Dec/28,Mutopia-2005/12/28-645,"LilyPond, version 2.6.4"
Keyboard Concerto Nº 4,Orchestra,Baroque,BWV 1055,1738,"Bach-Gesellschaft Ausgabe; Breitkopf and Härtel, 1869",Creative Commons Attribution-ShareAlike 4.0,2015/Nov/04,Mutopia-2015/11/04-2050,"LilyPond, version 2.18.2"
Arioso,"Cello, Piano",Baroque,BWV 1056,Not known,"Schirmer, 1915",Creative Commons Attribution 3.0,2014/Jan/19,Mutopia-2014/01/19-1902,"LilyPond, version 2.18.0"
"Musicalisches Opfer, Ricercare","Harpsichord, Piano",Baroque,BWV 1079,1747,"Breitkopf & Härtel, 1885",Public Domain,2006/Mar/02,Mutopia-2006/03/02-690,"LilyPond, version 2.6.4.3"
"Musikalisches Opfer, Ricercare a 6","Harpsichord, Piano",Baroque,BWV 1079,1747,"Breitkopf & Härtel, 1885",Public Domain,2006/Mar/23,Mutopia-2006/03/23-702,"LilyPond, version 2.6.4.3"
"Die Kunst der Fuge, Contrapunctus I","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2016/Jul/21,Mutopia-2016/07/21-693,"LilyPond, version 2.18.2"
"Die Kunst der Fuge, Contrapunctus XII - Canon alla Ottava","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2006/Apr/28,Mutopia-2006/04/28-746,"LilyPond, version 2.8.1"
"Die Kunst der Fuge, Contrapunctus XIII - Canon alla Duodecima","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2006/Apr/28,Mutopia-2006/04/28-748,"LilyPond, version 2.8.1"
"Die Kunst der Fuge, Contrapunctus XIV - Canon alla Decima","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2006/May/03,Mutopia-2006/05/03-749,"LilyPond, version 2.8.1"
"Die Kunst der Fuge, Contrapunctus XV - Canon per Augmentationem in Contrario Motu","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2006/May/03,Mutopia-2006/05/03-750,"LilyPond, version 2.8.1"
"Die Kunst der Fuge, Contrapunctus XVII - Fuga a 2 Clav. (rectus, inversus)","Harpsichord, Piano",Baroque,BWV 1080,?-1750,"Breitkopf & Härtel, 1885",Public Domain,2006/May/07,Mutopia-2006/05/07-752,"LilyPond, version 2.8.1"
Menuet,"Harpsichord, Piano, Clavichord",Baroque,BWV Anh. 113,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/06,Mutopia-2013/01/06-74,"LilyPond, version 2.16.1"
Menuet,"Harpsichord, Piano, Clavichord",Baroque,BWV Anh. 114,1725,Bach-Gesellschaft,Public Domain,2017/Jan/19,Mutopia-2017/01/19-75,"LilyPond, version 2.19.49"
Menuet,"Harpsichord, Piano, Clavichord",Baroque,BWV Anh. 115,Not known,Bach-Gesellschaft,Public Domain,2015/Aug/21,Mutopia-2015/08/21-76,"LilyPond, version 2.18.2"
Menuet,"Harpsichord, Piano, Clavichord",Baroque,BWV Anh. 116,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/06,Mutopia-2013/01/06-77,"LilyPond, version 2.16.1"
Polonaise in F major,Piano,Baroque,BWV Anh. 117b,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/30,Mutopia-2007/07/30-1015,"LilyPond, version 2.10.25"
Minuet in B-flat major,Piano,Baroque,BWV Anh. 118,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/30,Mutopia-2007/07/30-1014,"LilyPond, version 2.10.25"
Polonaise in G minor,Piano,Baroque,BWV Anh. 119,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/30,Mutopia-2007/07/30-1016,"LilyPond, version 2.10.25"
Minuet in A minor,Piano,Baroque,BWV Anh. 120,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2009/Jan/06,Mutopia-2009/01/06-1612,"LilyPond, version 2.12.1"
Minuet in C minor,Piano,Baroque,BWV Anh. 121,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2011/Jun/15,Mutopia-2011/06/15-1613,"LilyPond, version 2.14.1"
Musette,"Harpsichord, Piano, Clavichord",Baroque,BWV Anh. 126,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/06,Mutopia-2013/01/06-79,"LilyPond, version 2.16.1"
March in E-flat major,Piano,Baroque,BWV Anh. 127,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2009/Jan/06,Mutopia-2009/01/06-1614,"LilyPond, version 2.12.1"
Polonaise in D minor,Piano,Baroque,BWV Anh. 128,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2009/Jan/06,Mutopia-2009/01/06-1615,"LilyPond, version 2.12.1"
Air,Piano,Baroque,BWV Anh. 131,Not known,Autograph,Creative Commons Attribution-ShareAlike 2.5,2006/May/17,Mutopia-2006/05/17-767,"LilyPond, version 2.8.2"
Chorale prelude “Wer nur den lieben Gott läßt walten”,Piano,Baroque,BWV Anh. 691,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2009/Jan/06,Mutopia-2009/01/06-1616,"LilyPond, version 2.12.1"
"Matthäus Passion, Choral 'O Haupt voll Blut und Wunde'",Voice (SATB) and Piano,Baroque,Not known,1729,Edition Peters,Public Domain,2013/Mar/22,Mutopia-2013/03/22-107,"LilyPond, version 2.16.1"
Romanian Folk Dance No.2 - Peasant Costume,"Harpsichord, Piano",Romantic,Not known,Not known,Vienna,Public Domain,2017/Jan/11,Mutopia-2017/01/11-2162,"LilyPond, version 2.19.49"
Sonata No. 1 (1st Movement: Allegro),Piano,Classical,"Op. 2, No. 1",1794/95,Breitkopf & Hartel (1862-1865),Public Domain,2008/Jan/07,Mutopia-2008/01/07-1211,"LilyPond, version 2.10.33"
Sonata No. 1 (2nd Movement: Adagio),Piano,Classical,"Op. 2, No. 1",1794/95,"Peters, 1910",Creative Commons Attribution-ShareAlike 4.0,2015/Nov/15,Mutopia-2015/11/15-2070,"LilyPond, version 2.18.2"
Sonata No. 1 (3rd Movement: Allegretto),Piano,Classical,"Op. 2, No. 1",1794/95,Breitkopf & Hartel (1862-1865),Public Domain,2008/Feb/13,Mutopia-2008/02/13-1276,"LilyPond, version 2.10.33"
Sonata No. 1 (4th Movement: Prestissimo),Piano,Classical,"Op. 2, No. 1",1794/95,Breitkopf & Hartel (1862-1865),Public Domain,2008/Feb/13,Mutopia-2008/02/13-1277,"LilyPond, version 2.10.33"
Sonata No. 5 (1st Movement: Allegro molto e con brio),Piano,Classical,"Op. 10, No. 1",late 18th Century,Breitkopf & Hartel (1862-1865),Public Domain,2006/Jun/12,Mutopia-2006/06/12-778,"LilyPond, version 2.8.4"
Sonata No. 5 (3rd Movement: Prestissimo),Piano,Classical,"Op. 10, No. 1",late 18th Century,Breitkopf & Hartel (1862-65),Public Domain,2006/Jun/12,Mutopia-2006/06/12-779,"LilyPond, version 2.8.4"
Sonata No. 6 (1st Movement: Allegro),Piano,Classical,"Op. 10, No. 2",1796-1798,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jun/24,Mutopia-2007/06/24-992,"LilyPond, version 2.10.25"
Sonata No. 6 (2nd Movement: Allegretto),Piano,Classical,"Op. 10, No. 2",1796-1798,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jun/24,Mutopia-2007/06/24-993,"LilyPond, version 2.10.25"
Sonata No. 6 (3rd Movement: Presto),Piano,Classical,"Op. 10, No. 2",1796-1798,Breitkopf & Hartel (1862-1865),Public Domain,2007/Jun/24,Mutopia-2007/06/24-994,"LilyPond, version 2.10.25"
Piano Trio Opus 11 (1st Movement),"Clarinet, 'Cello and Piano",Classical,Op. 11,1798,Breitkopf and Hartel (1862-1865),Public Domain,2007/Dec/29,Mutopia-2007/12/29-1197,"LilyPond, version 2.10.33"
